BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    l gr.X	    l gr.Y	    l gr.Z	
   462	 1.925	     0.090	     0.006	    -0.158	
   463	 1.929	     0.090	     0.006	    -0.158	
   464	 1.933	     0.090	     0.006	    -0.158	
   465	 1.938	     0.090	     0.006	    -0.157	
   466	 1.942	     0.090	     0.006	    -0.158	
   467	 1.946	     0.090	     0.006	    -0.158	
   468	 1.950	     0.090	     0.006	    -0.158	
   469	 1.954	     0.090	     0.006	    -0.158	
   470	 1.958	     0.090	     0.006	    -0.158	
   471	 1.962	     0.090	     0.006	    -0.158	
   472	 1.967	     0.090	     0.006	    -0.158	
   473	 1.971	     0.090	     0.006	    -0.158	
   474	 1.975	     0.090	     0.006	    -0.158	
   475	 1.979	     0.090	     0.006	    -0.158	
   476	 1.983	     0.090	     0.006	    -0.158	
   477	 1.987	     0.090	     0.006	    -0.158	
   478	 1.992	     0.090	     0.006	    -0.158	
   479	 1.996	     0.090	     0.006	    -0.158	
   480	 2.000	     0.090	     0.006	    -0.158	
   481	 2.004	     0.090	     0.006	    -0.158	
   482	 2.008	     0.090	     0.006	    -0.158	
   483	 2.013	     0.090	     0.006	    -0.158	
   484	 2.017	     0.090	     0.006	    -0.158	
   485	 2.021	     0.090	     0.006	    -0.158	
   486	 2.025	     0.090	     0.006	    -0.158	
   487	 2.029	     0.090	     0.006	    -0.158	
   488	 2.033	     0.090	     0.006	    -0.158	
   489	 2.037	     0.090	     0.006	    -0.158	
   490	 2.042	     0.090	     0.006	    -0.158	
   491	 2.046	     0.090	     0.006	    -0.159	
   492	 2.050	     0.090	     0.006	    -0.158	
   493	 2.054	     0.090	     0.006	    -0.158	
   494	 2.058	     0.090	     0.006	    -0.158	
   495	 2.063	     0.090	     0.006	    -0.159	
   496	 2.067	     0.090	     0.006	    -0.159	
   497	 2.071	     0.090	     0.006	    -0.159	
   498	 2.075	     0.090	     0.006	    -0.159	
   499	 2.079	     0.090	     0.006	    -0.159	
   500	 2.083	     0.090	     0.006	    -0.158	
   501	 2.088	     0.090	     0.006	    -0.159	
   502	 2.092	     0.090	     0.006	    -0.159	
   503	 2.096	     0.090	     0.006	    -0.158	
