BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	
   310	 1.292	    -0.093	     0.008	    -0.174	
   311	 1.296	    -0.092	     0.008	    -0.173	
   312	 1.300	    -0.092	     0.008	    -0.173	
   313	 1.304	    -0.092	     0.008	    -0.173	
   314	 1.308	    -0.092	     0.008	    -0.173	
   315	 1.313	    -0.092	     0.008	    -0.174	
   316	 1.317	    -0.093	     0.008	    -0.173	
   317	 1.321	    -0.092	     0.008	    -0.173	
   318	 1.325	    -0.093	     0.008	    -0.174	
   319	 1.329	    -0.092	     0.008	    -0.173	
   320	 1.333	    -0.092	     0.008	    -0.173	
   321	 1.337	    -0.092	     0.008	    -0.173	
   322	 1.342	    -0.093	     0.008	    -0.174	
   323	 1.346	    -0.093	     0.008	    -0.173	
   324	 1.350	    -0.093	     0.008	    -0.173	
   325	 1.354	    -0.093	     0.008	    -0.174	
   326	 1.358	    -0.092	     0.008	    -0.172	
   327	 1.362	    -0.092	     0.008	    -0.173	
   328	 1.367	    -0.092	     0.008	    -0.173	
   329	 1.371	    -0.092	     0.008	    -0.174	
   330	 1.375	    -0.092	     0.008	    -0.173	
   331	 1.379	    -0.092	     0.008	    -0.173	
   332	 1.383	    -0.093	     0.008	    -0.173	
   333	 1.388	    -0.092	     0.008	    -0.174	
   334	 1.392	    -0.092	     0.008	    -0.173	
   335	 1.396	    -0.092	     0.008	    -0.174	
   336	 1.400	    -0.092	     0.008	    -0.173	
   337	 1.404	    -0.092	     0.008	    -0.174	
   338	 1.408	    -0.092	     0.008	    -0.173	
   339	 1.413	    -0.092	     0.008	    -0.173	
   340	 1.417	    -0.092	     0.008	    -0.173	
   341	 1.421	    -0.092	     0.008	    -0.173	
   342	 1.425	    -0.093	     0.008	    -0.174	
   343	 1.429	    -0.092	     0.008	    -0.173	
   344	 1.433	    -0.092	     0.008	    -0.174	
   345	 1.438	    -0.093	     0.008	    -0.174	
   346	 1.442	    -0.093	     0.008	    -0.174	
   347	 1.446	    -0.092	     0.008	    -0.174	
   348	 1.450	    -0.092	     0.008	    -0.174	
   349	 1.454	    -0.093	     0.008	    -0.174	
   350	 1.458	    -0.092	     0.008	    -0.173	
   351	 1.462	    -0.092	     0.008	    -0.173	
   352	 1.467	    -0.092	     0.008	    -0.174	
   353	 1.471	    -0.092	     0.008	    -0.173	
   354	 1.475	    -0.093	     0.008	    -0.174	
   355	 1.479	    -0.092	     0.008	    -0.173	
   356	 1.483	    -0.092	     0.008	    -0.174	
   357	 1.487	    -0.093	     0.008	    -0.173	
   358	 1.492	    -0.092	     0.008	    -0.174	
   359	 1.496	    -0.092	     0.008	    -0.173	
   360	 1.500	    -0.092	     0.008	    -0.173	
   361	 1.504	    -0.092	     0.008	    -0.173	
   362	 1.508	    -0.092	     0.008	    -0.173	
   363	 1.513	    -0.092	     0.008	    -0.174	
   364	 1.517	    -0.092	     0.008	    -0.174	
   365	 1.521	    -0.092	     0.008	    -0.174	
   366	 1.525	    -0.093	     0.008	    -0.173	
   367	 1.529	    -0.092	     0.008	    -0.173	
   368	 1.533	    -0.093	     0.008	    -0.173	
   369	 1.538	    -0.093	     0.008	    -0.174	
   370	 1.542	    -0.093	     0.008	    -0.173	
   371	 1.546	    -0.092	     0.008	    -0.173	
   372	 1.550	    -0.093	     0.008	    -0.173	
   373	 1.554	    -0.092	     0.008	    -0.173	
   374	 1.558	    -0.092	     0.008	    -0.173	
   375	 1.563	    -0.093	     0.008	    -0.174	
   376	 1.567	    -0.092	     0.008	    -0.173	
   377	 1.571	    -0.093	     0.008	    -0.172	
   378	 1.575	    -0.093	     0.008	    -0.173	
   379	 1.579	    -0.093	     0.008	    -0.173	
   380	 1.583	    -0.093	     0.008	    -0.173	
   381	 1.587	    -0.092	     0.008	    -0.173	
   382	 1.592	    -0.092	     0.008	    -0.173	
   383	 1.596	    -0.092	     0.008	    -0.173	
   384	 1.600	    -0.092	     0.008	    -0.172	
   385	 1.604	    -0.093	     0.008	    -0.173	
   386	 1.608	    -0.093	     0.008	    -0.172	
   387	 1.612	    -0.092	     0.008	    -0.172	
   388	 1.617	    -0.093	     0.008	    -0.173	
   389	 1.621	    -0.093	     0.008	    -0.173	
   390	 1.625	    -0.092	     0.008	    -0.172	
   391	 1.629	    -0.092	     0.008	    -0.172	
   392	 1.633	    -0.093	     0.008	    -0.173	
   393	 1.638	    -0.092	     0.008	    -0.172	
   394	 1.642	    -0.092	     0.008	    -0.172	
   395	 1.646	    -0.093	     0.008	    -0.173	
   396	 1.650	    -0.092	     0.008	    -0.173	
   397	 1.654	    -0.093	     0.008	    -0.174	
